CID,SMILES
24955181,C[C@H](C1=CC(=CC=C1)F)NCC2=CC(=C(C=C2)OC)N3CCCC3
43851664,C1=CC(=CC(=C1)OCC(=O)NC2=CC=CC(=C2)C(F)(F)F)[C@H]3C4C(C(=O)N(C4=O)CC(=O)O)SC5=C3SC(=O)N5
32870888,CNC(=O)C1=CC=CC(=C1)CNC(=O)CCCN2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O
87669752,C[C@H](CCCCC(=C)[C@@H](C)CCCN=C(CCl)N)C(=C)C
17023450,CCN1C=C(C(=N1)C)CN2CCN(CC2)C(=O)C3CCCN(C3)S(=O)(=O)C4=CN(N=C4)C
92368770,C[C@@H]1CCCCN1C(=O)CN2C3=C(C(=C(S3)C)C)C(=O)N(C2=O)CCC4=CC=CC=C4
153432121,[C-]#[N+]C1=CC(=C(C=C1)C2=CC3=C(C=C2)N(C4=C3C=C(C=C4)C5=C(C=C(C=C5)C#N)[N+]#[C-])C6=CC(=C(C=C6)C7=NC(=NC(=N7)C8=CC=CC=C8)C9=CC=CC=C9)C1=C(C=CC(=C1)C1=CC=CC(=C1)C#N)N1C2=C(C=C(C=C2)C2=C(C=C(C=C2)C#N)C#N)C2=C1C=CC(=C2)C1=C(C=C(C=C1)C#N)[N+]#[C-])[N+]#[C-]
167581977,C.C.C1=CC=C(C=C1)CC2=CC=CC=C2.C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=C4C(=CC=C3)SC5=C4C=C(C=C5)C6=C7C(=C(C=C6)N(C8=CC=CC=C8)C9=CC1=C(C=C9)C2=CC=CC=C2S1)C1=CC=CC=C1S7.C1=CC=C(C=C1)N(C2=CC3=C(C=C2)C4=CC=CC=C4S3)C5=C6C7=CC=CC=C7SC6=C(C=C5)C8=CC9=C(C=C8)SC1=C9C(=CC=C1)Cl
53498951,CN(CC1=CC=CC=C1N2CCOCC2)C3=NN4C=NN=C4C=C3
167705241,CN1C(=CN=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCN(CC3)C(=O)CN4CC(C4)C(=O)O)Cl)C5=C(C(=C(C=C5)OCC#N)F)F.C(=O)(C(F)(F)F)O
42999668,CC1=C(C=C(C=C1)C(=O)NC(C2=CC=CC=C2)C3=CC=CC=N3)[N+](=O)[O-]
134696083,CC1=CC=C(S1)C2=NC(=C(C=C2)C(=O)O)N3CCN(C(C3)CCO)CC(C)C
159248054,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)S.B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)S.B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)SCC3=CC=CC=C3.B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)SCC3=CC=CC=C3.B(C1=CC=C(C=C1)S)(O)O.B(C1=CC=C(C=C1)SCC2=CC=CC=C2)(O)O.B(C1=CC=C(C=C1)S(=O)CC2=CC=CC=C2)(O)O.CC(C)(C(C)(C)O)O.C1=CC=C(C=C1)CBr
53754587,C[C@@H]1CC(=O)NN=C1C2=CC=C(C=C2)NC3=NC=CC(=O)N3
110374484,CCOC(=O)N1CCN(CC1)C(=O)CCC2=C(N=C(S2)N)C3=CC=CS3
132984006,C/C(=C\C(=O)C)/O.C/C(=C\C(=O)C)/O.O=[Mo]=O
121518387,CC1=C(C(=NN1)C)C(C)CC2=NC(=NO2)C3=CC4=C(C=C3)OCC4
27440802,COC1=CC(=CC(=C1OC)OC)[C@@H]2CC(=O)N(C3=CC=CC=C3S2)CC(=O)N4CCCC4
76147732,CN1C=C(N=N1)C(=O)NCC2(CCC3=CC=CC=C32)O
62946399,CC1=CN(N=C1)C2=CC(=C(C=C2)C(=O)O)Cl
115633775,CC1=CSC(=N1)CNC2=CC=CC=C2OC(C)C
157886820,CCN(CC)CCCC(=O)C1=CC2=C(C=CN=C2C=C1OC)OC3=CC(=C(C=C3)NC(=S)NC4CC4)Cl
117089781,C1=CC=C2C(=C1)C=CN=C2NC3=NC=CC(=C3)C(=O)NCC4=NC5=CC=CC=C5N4
96471339,CC1=NOC(=C1)NC(=O)[C@@H](C)SCC2=NC3=CC=CC=C3C(=N2)N
63343717,CC(C(=O)N1CCOCC1)N2CCN(CC2)C(C)(C)CN
101971487,CCOC1=CC(=CC(=C1OCC)NC(=O)C(C(=O)C)N=NC2=C(C(=CC(=C2)Cl)OC)OC)Cl
80827919,CCCNC1=CC(=NC(=N1)N)NC2=CC3=C(C=C2)SC=C3
79656043,CCNC1(CCC(C1)N(C)C(C)C(C)C)CO
63404929,CC1=CC(=C(C=C1)N2C=C(C=N2)C3=CC=CC=C3)C
134129032,C[C@@H]1CN(C[C@H]1N)C(=O)OC(C)(C)C.Cl
163469838,COC(=O)[C@@H](CC1=CC2=C(C=C1)N(N=C2)S(=O)(=O)CCS(C)(C)C)NC(=O)N3CCC(CC3)N4CC5=CC=CC=C5NC4=O
145585101,CCC.CC(C)(C)C(CC(C(COC1CCC(C(C1O)O)O)NC(=O)OC(C)(C)C)O)O
