tSNE1,tSNE2,group
-55.015285,40.373993,PubChem candidate
-26.963001,-81.750885,PubChem candidate
-15.16521,-108.1755,PubChem candidate
-97.27388,-39.05867,PubChem candidate
6.937021,-15.905432,PubChem candidate
-53.765472,-74.4518,PubChem candidate
-104.16821,-6.8137126,PubChem candidate
-38.277378,-19.266245,PubChem candidate
-11.7547,72.2043,PubChem candidate
-41.411983,-68.482414,PubChem candidate
43.443848,-53.704037,PubChem candidate
-26.237911,92.42333,PubChem candidate
-111.09654,-5.022095,PubChem candidate
-14.885348,-109.16325,PubChem candidate
-14.106847,-39.111572,PubChem candidate
98.17845,32.906853,PubChem candidate
-48.156284,-73.051926,PubChem candidate
105.100586,-5.7166595,PubChem candidate
39.33672,-90.177536,PubChem candidate
5.3119707,-59.20146,PubChem candidate
-43.904446,-77.29983,PubChem candidate
-95.96136,3.6980727,PubChem candidate
53.116055,-9.840547,PubChem candidate
89.6607,57.33628,PubChem candidate
1.9201229,-111.0343,PubChem candidate
-19.385506,59.314346,PubChem candidate
-61.094166,-45.446255,PubChem candidate
0.7689216,-108.20891,PubChem candidate
-53.74877,-63.66739,PubChem candidate
-109.96724,-27.97443,PubChem candidate
-85.59266,-3.8286173,PubChem candidate
-71.82734,-48.248466,PubChem candidate
5.7204237,-62.63897,PubChem candidate
29.68052,39.26824,PubChem candidate
-15.72816,-30.537369,PubChem candidate
73.01605,-38.77689,PubChem candidate
-1.0460792,26.171371,PubChem candidate
29.171307,114.68415,PubChem candidate
1.1552407,83.2067,PubChem candidate
-4.998917,94.416275,PubChem candidate
106.67335,36.92005,PubChem candidate
-43.163517,-67.75563,PubChem candidate
-50.769238,-82.73594,PubChem candidate
9.453354,-57.483322,PubChem candidate
61.919304,26.885805,PubChem candidate
-61.25446,-64.48196,PubChem candidate
4.8754444,-9.626919,PubChem candidate
-18.111105,-12.534719,PubChem candidate
59.613087,24.149643,PubChem candidate
42.69762,-58.412426,PubChem candidate
21.893064,5.947687,PubChem candidate
12.422773,-10.427053,PubChem candidate
46.28197,13.84901,PubChem candidate
36.657272,29.2801,PubChem candidate
28.219091,29.515587,PubChem candidate
-60.394268,13.389421,PubChem candidate
56.511185,-48.547913,PubChem candidate
36.624073,13.704902,PubChem candidate
-23.440996,-82.26091,PubChem candidate
10.830187,-109.4874,PubChem candidate
55.816315,-79.50796,PubChem candidate
-31.002373,-24.513998,PubChem candidate
80.79917,43.62505,PubChem candidate
26.056185,-28.902792,PubChem candidate
-45.52438,-17.312769,PubChem candidate
-15.962819,-8.937438,PubChem candidate
106.55437,-2.5982132,PubChem candidate
53.0221,-85.11406,PubChem candidate
-112.398575,1.8297757,PubChem candidate
-41.975853,-69.73324,PubChem candidate
95.925606,-5.0839067,PubChem candidate
114.906,-23.031734,PubChem candidate
-30.104023,-23.015715,PubChem candidate
-10.399424,45.243916,PubChem candidate
-86.54612,-2.928946,PubChem candidate
-17.251797,12.88403,PubChem candidate
-36.724827,-13.386153,PubChem candidate
91.05029,-21.531076,PubChem candidate
2.6447105,23.021467,PubChem candidate
-8.785869,9.085327,PubChem candidate
89.80524,52.914295,PubChem candidate
-6.4709578,-93.26902,PubChem candidate
51.180073,-82.35411,PubChem candidate
-35.265106,65.27119,PubChem candidate
-90.38644,-21.174728,PubChem candidate
-44.15625,-67.25011,PubChem candidate
-19.62293,42.937206,PubChem candidate
-40.93833,-11.0963545,PubChem candidate
-8.654882,-90.769615,PubChem candidate
-31.426098,69.12678,PubChem candidate
-101.98065,-26.47352,PubChem candidate
-68.31649,14.179534,PubChem candidate
-37.128056,39.365517,PubChem candidate
38.097103,-69.31727,PubChem candidate
-114.60418,-24.544733,PubChem candidate
9.585401,104.241974,PubChem candidate
36.06458,26.559803,PubChem candidate
-46.272022,82.95897,PubChem candidate
-51.51358,35.861633,PubChem candidate
-13.950516,-18.983032,PubChem candidate
-88.15577,-18.058098,PubChem candidate
66.73201,-56.018856,PubChem candidate
-34.837967,-76.49415,PubChem candidate
86.7616,45.34457,PubChem candidate
-69.42021,-49.88744,PubChem candidate
24.643755,-58.7233,PubChem candidate
57.86205,-81.64845,PubChem candidate
-67.60172,-49.3892,PubChem candidate
-1.9514692,-101.603714,PubChem candidate
59.18454,1.1800674,PubChem candidate
65.28785,23.432623,PubChem candidate
25.032007,40.767986,PubChem candidate
63.891533,-66.80946,PubChem candidate
-67.83112,-46.909637,PubChem candidate
72.090996,-41.57369,PubChem candidate
20.382938,-66.7511,PubChem candidate
-30.218956,-24.47002,PubChem candidate
9.396082,-13.365386,PubChem candidate
-61.948124,7.1131406,PubChem candidate
53.36801,49.348907,PubChem candidate
-21.285465,-38.028267,PubChem candidate
109.79472,1.671167,PubChem candidate
42.91264,29.341753,PubChem candidate
56.800602,49.23927,PubChem candidate
-126.179054,-7.7763553,PubChem candidate
43.750572,-49.060566,PubChem candidate
-13.51191,15.640439,PubChem candidate
47.415127,39.366558,PubChem candidate
-77.41909,6.617653,PubChem candidate
6.622628,-77.45271,PubChem candidate
-2.1146905,-1.4543929,PubChem candidate
-54.27189,40.877625,PubChem candidate
-44.758614,-66.13674,PubChem candidate
-26.246183,91.829346,PubChem candidate
-58.952446,11.92481,PubChem candidate
-29.00818,-11.795368,PubChem candidate
-2.3820877,1.6895459,PubChem candidate
-14.381292,-40.229763,PubChem candidate
-51.94129,-62.760468,PubChem candidate
95.3577,-23.694534,PubChem candidate
-33.371395,100.320404,PubChem candidate
-10.294146,-105.03375,PubChem candidate
-37.285095,-14.28516,PubChem candidate
-12.875883,9.405577,PubChem candidate
6.8534937,95.779594,PubChem candidate
-14.245819,113.41252,PubChem candidate
-47.0521,39.10241,PubChem candidate
-30.519686,-87.66163,PubChem candidate
