record_index,lig_SMI,Sol_SMI,c_lig,c_HNO3,c_Metal_mM,D,logD
306,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,0.203791,2.0,0.01,2.64492762787804,0.422413793103446
307,CCCCCCCCCCCC(=O)N(CCCC)CCCC,CC1=CC=CC=C1,0.0797732,,,0.28938185538578,-0.5385287031854444
308,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,1.0,3.0,0.01,16.0681381716135,1.205965557619709
309,CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,CCCCCCCCCCCC,0.5,0.952106,,0.173324930922488,-0.7611389642143674
310,CCCCC(CC)C(=O)N(CCCC)CCCC,CC1=CC=CC=C1,0.5,3.5,50.0,1.75,0.2430380486862944
311,CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CCCCCCCCCC(C)C,0.749731,4.9,,9.73428581177885,0.9883040935672512
312,CCCCCCN(CCCCCC)C(=O)CCCCC,CCCCCCCCCCCC,0.5,3.54186,,3.79879529742664,0.5796458917139012
313,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.5,0.01,0.1,0.0019099978123167,-2.718967130186474
314,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,1.0,0.01,0.01,0.0047496206025883,-2.323341080224196
315,CCCCCCN(CCCCCC)C(=O)CCCCC,CCCCCCCCCCCC,1.0,3.5,128.755,8.76,0.9425041061680807
316,CCCCCCCCN(CCCCCCCC)C(=O)C(C)C,CCCCCCCCCCCC,,2.0,,0.602332249573009,-0.220163883572486
317,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,2.0,166.431,0.742644053943606,-0.129219291822582
318,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCC,0.1,2.9854,,9.18254283565628,0.9629629629629627
319,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,0.5,3.5,,4.79,0.6803355134145632
320,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CC1=CC=CC=C1,0.595996,3.0,100.0,4.99144877539841,0.6982266185371769
321,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,1.0,0.1,0.01,0.172645847687107,-0.7628438624246476
322,CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CCCCCCCCCC(C)C,,5.07687,,5.12493216657124,0.7096881214587651
323,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,1.0,1.0,0.01,6.36140149286869,0.8035528064607984
324,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,0.01,200.0,5.63,0.7505083948513462
325,CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,CCCCCCCCCCCC,0.5,4.80552,,1.8437965970236,0.2657130090914611
326,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,4.0,750.0,1.64556962025316,0.2163162610163941
327,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,3.0,500.0,2.4502712477396,0.3892141639057259
328,CCCCC(CC)C(=O)N(CCCC)CCCC,CC1=CC(=CC(=C1)C)C,0.96,6.50526,,11.3064048932236,1.053324533905294
329,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCCCCCCCCCC,0.3,6.5,0.03,0.382785547877612,-0.4170444674351315
330,CCCCCCCCN(CCCCCCCC)C(=O)CCC,CCCCCCCCCCCC,,4.0,,2.49524342580317,0.3971129200300176
331,CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CCCCCCCCCC(C)C,0.299608,4.9,,2.20135486860378,0.3426900584795311
332,CCCCCCN(CCCCCC)C(=O)C(C)C,CCCCCCCCCCCC,,7.0,,1.6908064222332,0.2280938887519323
333,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCCCCCCCCCC,1.0,4.0,,15.1109546369402,1.179291901828044
334,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,0.122547,10.2,,0.0582499618611782,-1.234704354653622
335,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,6.0,0.01,3.77,0.5763413502057929
336,CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.1,3.0,0.01,8.7282087969475,0.9409251269338039
337,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,1.0,2.0,0.1,0.430015552277198,-0.3665158371040725
338,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,1.0,3.0,0.1,11.5,1.060697840353612
339,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,1.99711,10.2,,6.98464713835244,0.8441444706166565
340,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.5,3.0,0.1,0.497541149466141,-0.3031709948236987
341,CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,CCCC(C)CC(C)C ,0.5,2.0,,244.3766,2.388059618193226
342,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,3.0,0.01,2.13,0.3283796034387377
343,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,1.01005,5.2,,12.0375169802006,1.080536912751675
344,CCCCCCN(CCCCCC)C(=O)CCCCC,CCCCCCCCCCCC,1.0,2.94008,,12.8067230110285,1.107438016528938
345,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,1.0,6.0,0.1,5.29641370231263,0.7239819004524883
346,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,1.01555,1.0,,1.0915190504268,0.0380313199105153
347,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,0.01,200.0,5.63,0.7505083948513462
348,CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,CCCCCCCCCCCC,0.5,5.98084,,4.09631522602479,0.6123933697586622
349,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.5,6.0,750.0,1.46473779385171,0.1657598875739492
350,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,1.0,2.0,0.1,0.431838510800117,-0.3646786304543028
